#Bucket,PerfectCC-
2.010000000000000000e+02,4.414900000000000000e+04
2.020000000000000000e+02,4.361900000000000000e+04
2.030000000000000000e+02,4.308900000000000000e+04
2.040000000000000000e+02,4.356600000000000000e+04
2.050000000000000000e+02,4.266500000000000000e+04
2.060000000000000000e+02,4.330100000000000000e+04
2.070000000000000000e+02,4.271800000000000000e+04
2.080000000000000000e+02,4.393700000000000000e+04
2.090000000000000000e+02,4.340700000000000000e+04
2.100000000000000000e+02,4.277100000000000000e+04
2.110000000000000000e+02,4.430800000000000000e+04
2.120000000000000000e+02,4.356600000000000000e+04
2.130000000000000000e+02,4.266500000000000000e+04
2.140000000000000000e+02,4.377800000000000000e+04
2.150000000000000000e+02,4.393700000000000000e+04
2.160000000000000000e+02,4.176400000000000000e+04
2.170000000000000000e+02,4.467900000000000000e+04
2.180000000000000000e+02,4.314200000000000000e+04
2.190000000000000000e+02,4.436100000000000000e+04
2.200000000000000000e+02,4.282400000000000000e+04
2.210000000000000000e+02,4.250600000000000000e+04
2.220000000000000000e+02,4.335400000000000000e+04
2.230000000000000000e+02,4.441400000000000000e+04
2.240000000000000000e+02,4.240000000000000000e+04
2.250000000000000000e+02,4.319500000000000000e+04
2.260000000000000000e+02,4.383100000000000000e+04
2.270000000000000000e+02,4.367200000000000000e+04
2.280000000000000000e+02,4.240000000000000000e+04
2.290000000000000000e+02,4.441400000000000000e+04
2.300000000000000000e+02,4.282400000000000000e+04
2.310000000000000000e+02,4.319500000000000000e+04
2.320000000000000000e+02,4.351300000000000000e+04
2.330000000000000000e+02,4.340700000000000000e+04
2.340000000000000000e+02,4.399000000000000000e+04
2.350000000000000000e+02,4.234700000000000000e+04
2.360000000000000000e+02,4.377800000000000000e+04
2.370000000000000000e+02,4.277100000000000000e+04
2.380000000000000000e+02,4.414900000000000000e+04
2.390000000000000000e+02,4.330100000000000000e+04
2.400000000000000000e+02,4.330100000000000000e+04
2.410000000000000000e+02,4.335400000000000000e+04
2.420000000000000000e+02,4.351300000000000000e+04
