#Bucket,AimdCC-delay=50ms
7.820000000000000000e+02,3.194395975736720200e+03
7.830000000000000000e+02,3.322345422597060000e+03
7.840000000000000000e+02,3.445309963080550500e+03
7.850000000000000000e+02,3.564190630410400000e+03
7.860000000000000000e+02,3.679437497848129600e+03
7.870000000000000000e+02,3.790632897244649900e+03
7.880000000000000000e+02,3.898650901629539900e+03
7.890000000000000000e+02,4.004569553373589800e+03
7.900000000000000000e+02,3.869842682592919100e+03
7.910000000000000000e+02,3.007970187426830300e+03
7.920000000000000000e+02,3.133057633458649900e+03
7.930000000000000000e+02,3.262986318003920100e+03
7.940000000000000000e+02,3.388212000824649300e+03
7.950000000000000000e+02,3.509627832642318900e+03
7.960000000000000000e+02,3.626959244271950000e+03
7.970000000000000000e+02,3.739953545791209800e+03
7.980000000000000000e+02,3.849700611795709800e+03
7.990000000000000000e+02,3.956500222562449800e+03
8.000000000000000000e+02,4.061092528955979600e+03
8.010000000000000000e+02,4.163580360105369400e+03
8.020000000000000000e+02,4.263027461083240300e+03
8.030000000000000000e+02,4.359983139678459300e+03
8.040000000000000000e+02,4.070964909377749300e+03
8.050000000000000000e+02,3.292165681987170000e+03
8.060000000000000000e+02,3.417748686316049800e+03
8.070000000000000000e+02,3.537305475942229400e+03
8.080000000000000000e+02,3.642925659957330000e+03
8.090000000000000000e+02,3.755871953066429800e+03
8.100000000000000000e+02,3.865889911185300200e+03
8.110000000000000000e+02,3.972902544758700100e+03
8.120000000000000000e+02,4.076474050174149900e+03
8.130000000000000000e+02,4.175160806826469500e+03
8.140000000000000000e+02,4.271628547999729600e+03
8.150000000000000000e+02,4.368508162795538700e+03
8.160000000000000000e+02,4.463157408409791100e+03
8.170000000000000000e+02,4.580509403587319900e+03
8.180000000000000000e+02,4.714694048924709900e+03
8.190000000000000000e+02,4.844910106411129200e+03
8.200000000000000000e+02,4.969678845599649300e+03
8.210000000000000000e+02,5.086478150863140400e+03
8.220000000000000000e+02,5.204680640617909400e+03
8.230000000000000000e+02,5.323296734813379800e+03
8.240000000000000000e+02,5.439022280710169100e+03
