#Bucket,BasicCC-
1.250000000000000000e+02,1.100600000000000000e+04
1.260000000000000000e+02,1.096000000000000000e+04
1.270000000000000000e+02,1.098200000000000000e+04
1.280000000000000000e+02,1.103100000000000000e+04
1.290000000000000000e+02,1.089100000000000000e+04
1.300000000000000000e+02,1.094000000000000000e+04
1.310000000000000000e+02,1.096800000000000000e+04
1.320000000000000000e+02,1.100500000000000000e+04
1.330000000000000000e+02,1.094200000000000000e+04
1.340000000000000000e+02,1.098100000000000000e+04
1.350000000000000000e+02,1.092000000000000000e+04
1.360000000000000000e+02,1.098000000000000000e+04
1.370000000000000000e+02,1.098500000000000000e+04
1.380000000000000000e+02,1.095400000000000000e+04
1.390000000000000000e+02,1.101400000000000000e+04
1.400000000000000000e+02,1.095600000000000000e+04
1.410000000000000000e+02,1.093400000000000000e+04
1.420000000000000000e+02,1.092100000000000000e+04
1.430000000000000000e+02,1.103600000000000000e+04
1.440000000000000000e+02,1.089000000000000000e+04
1.450000000000000000e+02,1.091500000000000000e+04
1.460000000000000000e+02,1.104600000000000000e+04
1.470000000000000000e+02,1.099400000000000000e+04
1.480000000000000000e+02,1.090800000000000000e+04
1.490000000000000000e+02,1.098300000000000000e+04
1.500000000000000000e+02,1.097700000000000000e+04
1.510000000000000000e+02,1.095500000000000000e+04
1.520000000000000000e+02,1.093000000000000000e+04
1.530000000000000000e+02,1.099100000000000000e+04
1.540000000000000000e+02,1.095300000000000000e+04
1.550000000000000000e+02,1.087100000000000000e+04
1.560000000000000000e+02,1.102500000000000000e+04
1.570000000000000000e+02,1.095300000000000000e+04
1.580000000000000000e+02,1.102300000000000000e+04
1.590000000000000000e+02,1.091400000000000000e+04
1.600000000000000000e+02,1.092100000000000000e+04
1.610000000000000000e+02,1.102500000000000000e+04
1.620000000000000000e+02,1.099800000000000000e+04
1.630000000000000000e+02,1.095900000000000000e+04
1.640000000000000000e+02,1.098700000000000000e+04
1.650000000000000000e+02,1.095400000000000000e+04
1.660000000000000000e+02,1.090400000000000000e+04
1.670000000000000000e+02,1.104700000000000000e+04
1.680000000000000000e+02,1.092800000000000000e+04
1.690000000000000000e+02,1.090400000000000000e+04
1.700000000000000000e+02,1.102500000000000000e+04
1.710000000000000000e+02,1.087400000000000000e+04
1.720000000000000000e+02,1.105800000000000000e+04
1.730000000000000000e+02,1.098100000000000000e+04
1.740000000000000000e+02,1.083800000000000000e+04
1.750000000000000000e+02,1.101800000000000000e+04
1.760000000000000000e+02,1.101000000000000000e+04
1.770000000000000000e+02,1.096000000000000000e+04
1.780000000000000000e+02,1.094700000000000000e+04
1.790000000000000000e+02,1.097700000000000000e+04
1.800000000000000000e+02,1.094600000000000000e+04
1.810000000000000000e+02,1.094300000000000000e+04
1.820000000000000000e+02,1.100600000000000000e+04
1.830000000000000000e+02,1.096200000000000000e+04
1.840000000000000000e+02,1.092700000000000000e+04
1.850000000000000000e+02,1.098200000000000000e+04
1.860000000000000000e+02,1.095200000000000000e+04
