#Bucket,QLearnCC-
1.320000000000000000e+02,6.357000000000000200e+00
1.330000000000000000e+02,5.509000000000000300e+00
1.340000000000000000e+02,8.131999999999999700e+00
1.350000000000000000e+02,8.130000000000000800e+00
1.360000000000000000e+02,6.242000000000000000e+00
1.370000000000000000e+02,6.107000000000000200e+00
1.380000000000000000e+02,6.819000000000000000e+00
1.390000000000000000e+02,6.985999999999999800e+00
1.400000000000000000e+02,7.392999999999999800e+00
1.410000000000000000e+02,6.083000000000000200e+00
1.420000000000000000e+02,6.035999999999999600e+00
1.430000000000000000e+02,7.085000000000000000e+00
1.440000000000000000e+02,6.557999999999999800e+00
1.450000000000000000e+02,7.004999999999999900e+00
1.460000000000000000e+02,7.822000000000000100e+00
1.470000000000000000e+02,8.199999999999999300e+00
1.480000000000000000e+02,7.770999999999999900e+00
1.490000000000000000e+02,7.205000000000000100e+00
1.500000000000000000e+02,7.338000000000000100e+00
1.510000000000000000e+02,9.282999999999999500e+00
1.520000000000000000e+02,7.219000000000000300e+00
1.530000000000000000e+02,7.187000000000000300e+00
1.540000000000000000e+02,7.285000000000000100e+00
1.550000000000000000e+02,8.284000000000000700e+00
1.560000000000000000e+02,5.918999999999999600e+00
1.570000000000000000e+02,6.285000000000000100e+00
1.580000000000000000e+02,7.524000000000000000e+00
1.590000000000000000e+02,6.078999999999999700e+00
1.600000000000000000e+02,6.312999999999999700e+00
1.610000000000000000e+02,8.188000000000000600e+00
1.620000000000000000e+02,5.384999999999999800e+00
1.630000000000000000e+02,6.246999999999999900e+00
1.640000000000000000e+02,7.985999999999999800e+00
1.650000000000000000e+02,8.531000000000000600e+00
1.660000000000000000e+02,8.555999999999999200e+00
1.670000000000000000e+02,8.740000000000000200e+00
1.680000000000000000e+02,7.682999999999999800e+00
1.690000000000000000e+02,8.015000000000000600e+00
1.700000000000000000e+02,8.612000000000000100e+00
1.710000000000000000e+02,8.968000000000000000e+00
1.720000000000000000e+02,5.809000000000000200e+00
1.730000000000000000e+02,5.060999999999999900e+00
1.740000000000000000e+02,6.493999999999999800e+00
1.750000000000000000e+02,6.900000000000000400e+00
1.760000000000000000e+02,5.416999999999999800e+00
1.770000000000000000e+02,6.232999999999999700e+00
1.780000000000000000e+02,6.636999999999999600e+00
1.790000000000000000e+02,7.831000000000000400e+00
1.800000000000000000e+02,6.974000000000000200e+00
1.810000000000000000e+02,7.149000000000000000e+00
1.820000000000000000e+02,6.929000000000000300e+00
1.830000000000000000e+02,7.200000000000000200e+00
1.840000000000000000e+02,6.838000000000000100e+00
1.850000000000000000e+02,7.027999999999999600e+00
1.860000000000000000e+02,6.702000000000000000e+00
1.870000000000000000e+02,5.939000000000000100e+00
1.880000000000000000e+02,7.282000000000000000e+00
1.890000000000000000e+02,6.538000000000000300e+00
1.900000000000000000e+02,6.578999999999999700e+00
1.910000000000000000e+02,6.253999999999999600e+00
1.920000000000000000e+02,7.309000000000000200e+00
1.930000000000000000e+02,7.541000000000000400e+00
1.940000000000000000e+02,6.128999999999999600e+00
1.950000000000000000e+02,6.772000000000000200e+00
1.960000000000000000e+02,7.123000000000000200e+00
1.970000000000000000e+02,7.493999999999999800e+00
1.980000000000000000e+02,6.190999999999999800e+00
1.990000000000000000e+02,5.998999999999999700e+00
2.000000000000000000e+02,0.000000000000000000e+00
